population,n_responder,n_non_responder,mean_responder_pct,mean_non_responder_pct,mean_diff,cohens_d,t_statistic,p_value,p_value_adj,significant
cd4_t_cell,993,975,30.54,29.9,0.635,0.127,2.81,0.005021385121096387,0.025106925605481934,True
b_cell,993,975,9.8,10.0,-0.199,-0.062,-1.37,0.17121708930833965,0.8560854465416983,False
nk_cell,993,975,14.84,15.07,-0.232,-0.059,-1.3,0.19294405855719682,0.9647202927859841,False
cd8_t_cell,993,975,24.88,24.94,-0.062,-0.013,-0.3,0.7676466129338623,1.0,False
monocyte,993,975,19.94,20.08,-0.143,-0.033,-0.73,0.4658769948663676,1.0,False
